device,num_adversaries,f1,tp,fp,tn,fn,aggregation,injected
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg,pi3-1gb
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg,pi3-1gb
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg,pi3-1gb
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg,pi3-1gb
All,0,85.96273291925466,2422,13,787,778,fed_avg,pi3-1gb
pi3-1gb,1,68.79084967320263,421,3,197,379,fed_avg,pi3-1gb
pi4-2gb-bc,1,63.497453310696095,374,4,196,426,fed_avg,pi3-1gb
pi4-2gb-wc,1,64.29177268871926,379,0,200,421,fed_avg,pi3-1gb
pi4-4gb,1,65.32325776658271,389,2,198,411,fed_avg,pi3-1gb
All,1,65.50712489522213,1563,9,791,1637,fed_avg,pi3-1gb
pi3-1gb,2,70.48387096774194,437,3,197,363,fed_avg,pi3-1gb
pi4-2gb-bc,2,52.930402930402934,289,3,197,511,fed_avg,pi3-1gb
pi4-2gb-wc,2,55.072463768115945,304,0,200,496,fed_avg,pi3-1gb
pi4-4gb,2,50.37313432835822,270,2,198,530,fed_avg,pi3-1gb
All,2,57.67524401064773,1300,8,792,1900,fed_avg,pi3-1gb
pi3-1gb,3,28.510182207931408,133,0,200,667,fed_avg,pi3-1gb
pi4-2gb-bc,3,23.710208562019762,108,3,197,692,fed_avg,pi3-1gb
pi4-2gb-wc,3,22.22222222222222,100,0,200,700,fed_avg,pi3-1gb
pi4-4gb,3,21.603563474387528,97,1,199,703,fed_avg,pi3-1gb
All,3,24.052718286655683,438,4,796,2762,fed_avg,pi3-1gb
pi3-1gb,4,4.634146341463414,19,1,199,781,fed_avg,pi3-1gb
pi4-2gb-bc,4,8.12425328554361,34,3,197,766,fed_avg,pi3-1gb
pi4-2gb-wc,4,9.069212410501192,38,0,200,762,fed_avg,pi3-1gb
pi4-4gb,4,7.2202166064981945,30,1,199,770,fed_avg,pi3-1gb
All,4,7.276007215874925,121,5,795,3079,fed_avg,pi3-1gb
pi3-1gb,0,86.05803255484786,608,5,195,192,trimmed_mean,pi3-1gb
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,trimmed_mean,pi3-1gb
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,trimmed_mean,pi3-1gb
pi4-4gb,0,85.83629893238435,603,2,198,197,trimmed_mean,pi3-1gb
All,0,85.99822537710736,2423,12,788,777,trimmed_mean,pi3-1gb
pi3-1gb,1,68.79084967320263,421,3,197,379,trimmed_mean,pi3-1gb
pi4-2gb-bc,1,66.88741721854305,404,4,196,396,trimmed_mean,pi3-1gb
pi4-2gb-wc,1,66.4440734557596,398,0,200,402,trimmed_mean,pi3-1gb
pi4-4gb,1,66.77740863787375,402,2,198,398,trimmed_mean,pi3-1gb
All,1,67.23210591642531,1625,9,791,1575,trimmed_mean,pi3-1gb
pi3-1gb,2,71.82761372705507,450,3,197,350,trimmed_mean,pi3-1gb
pi4-2gb-bc,2,51.02040816326531,275,3,197,525,trimmed_mean,pi3-1gb
pi4-2gb-wc,2,52.67034990791897,286,0,200,514,trimmed_mean,pi3-1gb
pi4-4gb,2,46.94656488549619,246,2,198,554,trimmed_mean,pi3-1gb
All,2,56.30459126539754,1257,8,792,1943,trimmed_mean,pi3-1gb
pi3-1gb,3,25.517993456924753,117,0,200,683,trimmed_mean,pi3-1gb
pi4-2gb-bc,3,1.2422360248447204,5,0,200,795,trimmed_mean,pi3-1gb
pi4-2gb-wc,3,0.9950248756218907,4,0,200,796,trimmed_mean,pi3-1gb
pi4-4gb,3,0.24968789013732834,1,0,200,799,trimmed_mean,pi3-1gb
All,3,7.634505560565073,127,0,800,3073,trimmed_mean,pi3-1gb
pi3-1gb,4,25.897714907508163,119,0,200,681,trimmed_mean,pi3-1gb
pi4-2gb-bc,4,9.263657957244655,39,3,197,761,trimmed_mean,pi3-1gb
