device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg
All,0,85.96273291925466,2422,13,787,778,fed_avg
pi3-1gb,1,85.55240793201135,604,8,192,196,fed_avg
pi4-2gb-bc,1,86.07954545454545,606,2,198,194,fed_avg
pi4-2gb-wc,1,85.73446327683615,607,9,191,193,fed_avg
pi4-4gb,1,85.83629893238435,603,2,198,197,fed_avg
All,1,85.80039000177274,2420,21,779,780,fed_avg
pi3-1gb,2,0.0,0,0,200,800,fed_avg
pi4-2gb-bc,2,0.2493765586034913,1,1,199,799,fed_avg
pi4-2gb-wc,2,0.0,0,0,200,800,fed_avg
pi4-4gb,2,0.24968789013732834,1,0,200,799,fed_avg
All,2,0.1248829222603809,2,1,799,3198,fed_avg
pi3-1gb,3,0.4987531172069826,2,0,200,798,fed_avg
pi4-2gb-bc,3,0.0,0,0,200,800,fed_avg
pi4-2gb-wc,3,0.4987531172069826,2,0,200,798,fed_avg
pi4-4gb,3,0.4987531172069826,2,0,200,798,fed_avg
All,3,0.37429819089207733,6,0,800,3194,fed_avg
pi3-1gb,4,0.4987531172069826,2,0,200,798,fed_avg
pi4-2gb-bc,4,0.0,0,0,200,800,fed_avg
pi4-2gb-wc,4,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,4,0.4987531172069826,2,0,200,798,fed_avg
All,4,0.31201248049922004,5,0,800,3195,fed_avg
pi3-1gb,5,0.0,0,0,200,800,fed_avg
pi4-2gb-bc,5,0.0,0,0,200,800,fed_avg
pi4-2gb-wc,5,0.4987531172069826,2,0,200,798,fed_avg
pi4-4gb,5,0.24968789013732834,1,0,200,799,fed_avg
All,5,0.18732438339057134,3,0,800,3197,fed_avg
pi3-1gb,6,0.4987531172069826,2,0,200,798,fed_avg
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,6,0.4987531172069826,2,0,200,798,fed_avg
pi4-4gb,6,0.49813200498132004,2,1,199,798,fed_avg
All,6,0.4364089775561098,7,1,799,3193,fed_avg
pi3-1gb,0,85.6330014224751,602,4,196,198,trimmed_mean
pi4-2gb-bc,0,85.77524893314367,603,3,197,197,trimmed_mean
pi4-2gb-wc,0,85.71428571428572,603,4,196,197,trimmed_mean
pi4-4gb,0,85.6330014224751,602,4,196,198,trimmed_mean
All,0,85.6888888888889,2410,15,785,790,trimmed_mean
pi3-1gb,1,85.79505300353357,607,8,192,193,trimmed_mean
pi4-2gb-bc,1,85.87731811697574,602,0,200,198,trimmed_mean
pi4-2gb-wc,1,85.81560283687944,605,5,195,195,trimmed_mean
pi4-4gb,1,85.77524893314367,603,3,197,197,trimmed_mean
All,1,85.81572874134564,2417,16,784,783,trimmed_mean
pi3-1gb,2,85.77524893314367,603,3,197,197,trimmed_mean
pi4-2gb-bc,2,85.95744680851062,606,4,196,194,trimmed_mean
pi4-2gb-wc,2,85.83569405099149,606,6,194,194,trimmed_mean
pi4-4gb,2,85.8974358974359,603,1,199,197,trimmed_mean
All,2,85.86647727272727,2418,14,786,782,trimmed_mean
pi3-1gb,3,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-bc,3,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-wc,3,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-4gb,3,0.0,0,0,200,800,trimmed_mean
All,3,0.18732438339057134,3,0,800,3197,trimmed_mean
pi3-1gb,4,0.7471980074719801,3,0,200,797,trimmed_mean
pi4-2gb-bc,4,0.0,0,0,200,800,trimmed_mean
pi4-2gb-wc,4,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-4gb,4,0.0,0,0,200,800,trimmed_mean
All,4,0.24968789013732834,4,0,800,3196,trimmed_mean
pi3-1gb,5,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-bc,5,0.7471980074719801,3,0,200,797,trimmed_mean
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-4gb,5,0.0,0,0,200,800,trimmed_mean
All,5,0.31201248049922004,5,0,800,3195,trimmed_mean
pi3-1gb,6,0.7471980074719801,3,0,200,797,trimmed_mean
pi4-2gb-bc,6,0.4987531172069826,2,0,200,798,trimmed_mean
pi4-2gb-wc,6,0.0,0,1,199,800,trimmed_mean
pi4-4gb,6,0.0,0,0,200,800,trimmed_mean
All,6,0.3119151590767312,5,1,799,3195,trimmed_mean
pi3-1gb,0,85.9375,605,3,197,195,trimmed_mean_2
pi4-2gb-bc,0,86.01845280340667,606,3,197,194,trimmed_mean_2
pi4-2gb-wc,0,85.95744680851062,606,4,196,194,trimmed_mean_2
pi4-4gb,0,85.61253561253562,601,3,197,199,trimmed_mean_2
All,0,85.88172615876398,2418,13,787,782,trimmed_mean_2
pi3-1gb,1,85.59261887863735,603,6,194,197,trimmed_mean_2
pi4-2gb-bc,1,85.6735566642908,601,2,198,199,trimmed_mean_2
pi4-2gb-wc,1,85.73456352022711,604,5,195,196,trimmed_mean_2
pi4-4gb,1,85.75498575498574,602,2,198,198,trimmed_mean_2
All,1,85.6888888888889,2410,15,785,790,trimmed_mean_2
pi3-1gb,2,85.8974358974359,603,1,199,197,trimmed_mean_2
pi4-2gb-bc,2,85.77524893314367,603,3,197,197,trimmed_mean_2
pi4-2gb-wc,2,85.73456352022711,604,5,195,196,trimmed_mean_2
pi4-4gb,2,85.69395017793595,602,3,197,198,trimmed_mean_2
